,opt_name,reason,encoding,proved
171,AndOrXor:1288,poison,full,yes
172,AndOrXor:1288,poison,partial,yes
173,AndOrXor:1288,poison,qf,yes
174,AndOrXor:1288,undef,full,yes
175,AndOrXor:1288,undef,partial,yes
176,AndOrXor:1288,undef,qf,yes
177,AndOrXor:1288,values,full,no
178,AndOrXor:1288,values,partial,no
179,AndOrXor:1288,values,qf,no
180,AndOrXor:135,poison,full,yes
181,AndOrXor:135,poison,partial,yes
182,AndOrXor:135,poison,qf,yes
183,AndOrXor:135,undef,full,yes
184,AndOrXor:135,undef,partial,yes
185,AndOrXor:135,undef,qf,yes
186,AndOrXor:135,values,full,no
187,AndOrXor:135,values,partial,no
188,AndOrXor:135,values,qf,no
189,AndOrXor:144,poison,full,yes
190,AndOrXor:144,poison,partial,yes
191,AndOrXor:144,poison,qf,yes
192,AndOrXor:144,undef,full,yes
193,AndOrXor:144,undef,partial,yes
194,AndOrXor:144,undef,qf,yes
195,AndOrXor:144,values,full,no
196,AndOrXor:144,values,partial,no
197,AndOrXor:144,values,qf,no
198,AndOrXor:151,poison,full,yes
199,AndOrXor:151,poison,partial,yes
200,AndOrXor:151,poison,qf,yes
201,AndOrXor:151,undef,full,yes
202,AndOrXor:151,undef,partial,yes
203,AndOrXor:151,undef,qf,yes
204,AndOrXor:151,values,full,no
205,AndOrXor:151,values,partial,no
206,AndOrXor:151,values,qf,no
207,AndOrXor:1683-1,poison,full,yes
208,AndOrXor:1683-1,poison,partial,yes
209,AndOrXor:1683-1,poison,qf,yes
210,AndOrXor:1683-1,undef,full,yes
211,AndOrXor:1683-1,undef,partial,yes
212,AndOrXor:1683-1,undef,qf,yes
213,AndOrXor:1683-1,values,full,yes
214,AndOrXor:1683-1,values,partial,yes
215,AndOrXor:1683-1,values,qf,yes
216,AndOrXor:1683-2,poison,full,yes
217,AndOrXor:1683-2,poison,partial,yes
218,AndOrXor:1683-2,poison,qf,yes
219,AndOrXor:1683-2,undef,full,yes
220,AndOrXor:1683-2,undef,partial,yes
221,AndOrXor:1683-2,undef,qf,yes
222,AndOrXor:1683-2,values,full,yes
223,AndOrXor:1683-2,values,partial,yes
224,AndOrXor:1683-2,values,qf,yes
225,AndOrXor:1704,poison,full,yes
226,AndOrXor:1704,poison,partial,yes
227,AndOrXor:1704,poison,qf,yes
228,AndOrXor:1704,undef,full,yes
229,AndOrXor:1704,undef,partial,yes
230,AndOrXor:1704,undef,qf,yes
231,AndOrXor:1704,values,full,yes
232,AndOrXor:1704,values,partial,yes
233,AndOrXor:1704,values,qf,yes
234,AndOrXor:1705,poison,full,yes
235,AndOrXor:1705,poison,partial,yes
236,AndOrXor:1705,poison,qf,yes
237,AndOrXor:1705,undef,full,yes
238,AndOrXor:1705,undef,partial,yes
239,AndOrXor:1705,undef,qf,yes
240,AndOrXor:1705,values,full,yes
241,AndOrXor:1705,values,partial,yes
242,AndOrXor:1705,values,qf,yes
243,AndOrXor:1733,poison,full,yes
244,AndOrXor:1733,poison,partial,yes
245,AndOrXor:1733,poison,qf,yes
246,AndOrXor:1733,undef,full,yes
247,AndOrXor:1733,undef,partial,yes
248,AndOrXor:1733,undef,qf,yes
249,AndOrXor:1733,values,full,no
250,AndOrXor:1733,values,partial,no
251,AndOrXor:1733,values,qf,no
252,AndOrXor:1740,poison,full,yes
253,AndOrXor:1740,poison,partial,yes
254,AndOrXor:1740,poison,qf,yes
255,AndOrXor:1740,undef,full,yes
256,AndOrXor:1740,undef,partial,yes
257,AndOrXor:1740,undef,qf,yes
258,AndOrXor:1740,values,full,yes
259,AndOrXor:1740,values,partial,yes
260,AndOrXor:1740,values,qf,yes
261,AndOrXor:1795,poison,full,yes
262,AndOrXor:1795,poison,partial,yes
263,AndOrXor:1795,poison,qf,yes
264,AndOrXor:1795,undef,full,yes
265,AndOrXor:1795,undef,partial,yes
266,AndOrXor:1795,undef,qf,yes
267,AndOrXor:1795,values,full,no
268,AndOrXor:1795,values,partial,no
269,AndOrXor:1795,values,qf,no
270,AndOrXor:1818,poison,full,yes
271,AndOrXor:1818,poison,partial,yes
272,AndOrXor:1818,poison,qf,yes
273,AndOrXor:1818,undef,full,yes
274,AndOrXor:1818,undef,partial,yes
275,AndOrXor:1818,undef,qf,yes
276,AndOrXor:1818,values,full,yes
277,AndOrXor:1818,values,partial,yes
278,AndOrXor:1818,values,qf,yes
279,AndOrXor:1819,poison,full,yes
280,AndOrXor:1819,poison,partial,yes
281,AndOrXor:1819,poison,qf,yes
282,AndOrXor:1819,undef,full,yes
283,AndOrXor:1819,undef,partial,yes
284,AndOrXor:1819,undef,qf,yes
285,AndOrXor:1819,values,full,yes
286,AndOrXor:1819,values,partial,yes
287,AndOrXor:1819,values,qf,yes
288,AndOrXor:1820,poison,full,yes
