index,path,err_log,config,filename,encoding,filename_clean,filename_cleaner,opt_name,family,reason,status,result,seconds,proved
18,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:1899_poison_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:1899_poison_0.smt2,partial,partial_AndOrXor:1899_poison_0.smt2,AndOrXor:1899_poison_0.smt2,AndOrXor:1899,AndOrXor,poison,ok,unsat,0,yes
19,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:961_values_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:961_values_0.smt2,qf,qf_AndOrXor:961_values_0.smt2,AndOrXor:961_values_0.smt2,AndOrXor:961,AndOrXor,values,ok,unsat,0,yes
20,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:732-1_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:732-1_undef_0.smt2,combined,combined_AndOrXor:732-1_undef_0.smt2,AndOrXor:732-1_undef_0.smt2,AndOrXor:732-1,AndOrXor,undef,ok,unsat,0,yes
21,cvc4_tplanes_saturate_no_e_matching/full-full_AndOrXor:1683-1_values_68.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,full-full_AndOrXor:1683-1_values_68.smt2,full,full_AndOrXor:1683-1_values_68.smt2,AndOrXor:1683-1_values_68.smt2,AndOrXor:1683-1,AndOrXor,values,ok,unsat,0,yes
22,cvc4_tplanes_saturate_no_e_matching/full-full_InstCombineShift497c_values_0.smt2,"out of time,no result,1800",cvc4_tplanes_saturate_no_e_matching,full-full_InstCombineShift497c_values_0.smt2,full,full_InstCombineShift497c_values_0.smt2,InstCombineShift497c_values_0.smt2,InstCombineShift497c,Shifts,values,out of time,no result,1800,no
23,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:2587_undef_55.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:2587_undef_55.smt2,combined,combined_AndOrXor:2587_undef_55.smt2,AndOrXor:2587_undef_55.smt2,AndOrXor:2587,AndOrXor,undef,ok,unsat,0,yes
24,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:1884_poison_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:1884_poison_0.smt2,partial,partial_AndOrXor:1884_poison_0.smt2,AndOrXor:1884_poison_0.smt2,AndOrXor:1884,AndOrXor,poison,ok,unsat,0,yes
25,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:994_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:994_undef_0.smt2,qf,qf_AndOrXor:994_undef_0.smt2,AndOrXor:994_undef_0.smt2,AndOrXor:994,AndOrXor,undef,ok,unsat,0,yes
26,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:1894_values_0.smt2,"out of time,no result,1800",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:1894_values_0.smt2,qf,qf_AndOrXor:1894_values_0.smt2,AndOrXor:1894_values_0.smt2,AndOrXor:1894,AndOrXor,values,out of time,no result,1800,no
27,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:924_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:924_undef_0.smt2,partial,partial_AndOrXor:924_undef_0.smt2,AndOrXor:924_undef_0.smt2,AndOrXor:924,AndOrXor,undef,ok,unsat,0,yes
