,opt_name,reason,proved
186,AndOrXor:2063,poison,yes
187,AndOrXor:2063,undef,yes
188,AndOrXor:2063,values,no
189,AndOrXor:210,poison,yes
190,AndOrXor:210,undef,yes
191,AndOrXor:210,values,no
192,AndOrXor:2113,poison,yes
193,AndOrXor:2113,undef,yes
194,AndOrXor:2113,values,no
195,AndOrXor:2118,poison,yes
196,AndOrXor:2118,undef,yes
197,AndOrXor:2118,values,no
198,AndOrXor:2123,poison,yes
199,AndOrXor:2123,undef,yes
200,AndOrXor:2123,values,no
201,AndOrXor:2160,poison,yes
202,AndOrXor:2160,undef,yes
203,AndOrXor:2160,values,no
204,AndOrXor:2188,poison,yes
205,AndOrXor:2188,undef,yes
206,AndOrXor:2188,values,no
207,AndOrXor:2231,poison,yes
208,AndOrXor:2231,undef,yes
209,AndOrXor:2231,values,no
210,AndOrXor:2243,poison,yes
211,AndOrXor:2243,undef,yes
212,AndOrXor:2243,values,no
213,AndOrXor:2247,poison,yes
214,AndOrXor:2247,undef,yes
215,AndOrXor:2247,values,no
216,AndOrXor:2263,poison,yes
217,AndOrXor:2263,undef,yes
218,AndOrXor:2263,values,no
219,AndOrXor:2264,poison,yes
220,AndOrXor:2264,undef,yes
221,AndOrXor:2264,values,no
222,AndOrXor:2265,poison,yes
223,AndOrXor:2265,undef,yes
224,AndOrXor:2265,values,no
225,AndOrXor:2284,poison,yes
226,AndOrXor:2284,undef,yes
227,AndOrXor:2284,values,no
228,AndOrXor:2285,poison,yes
229,AndOrXor:2285,undef,yes
230,AndOrXor:2285,values,no
231,AndOrXor:2297,poison,yes
232,AndOrXor:2297,undef,yes
233,AndOrXor:2297,values,no
234,AndOrXor:230,poison,yes
235,AndOrXor:230,undef,yes
236,AndOrXor:230,values,no
237,AndOrXor:2367,poison,yes
238,AndOrXor:2367,undef,yes
239,AndOrXor:2367,values,no
240,AndOrXor:2416,poison,yes
241,AndOrXor:2416,undef,yes
242,AndOrXor:2416,values,no
243,AndOrXor:2417,poison,yes
244,AndOrXor:2417,undef,yes
245,AndOrXor:2417,values,no
246,AndOrXor:2429,poison,yes
247,AndOrXor:2429,undef,yes
248,AndOrXor:2429,values,no
249,AndOrXor:2430,poison,yes
250,AndOrXor:2430,undef,yes
251,AndOrXor:2430,values,no
252,AndOrXor:2443,poison,yes
253,AndOrXor:2443,undef,yes
254,AndOrXor:2443,values,no
255,AndOrXor:2453,poison,yes
256,AndOrXor:2453,undef,yes
257,AndOrXor:2453,values,yes
258,AndOrXor:2475,poison,yes
259,AndOrXor:2475,undef,yes
260,AndOrXor:2475,values,no
261,AndOrXor:2486,poison,yes
262,AndOrXor:2486,undef,yes
263,AndOrXor:2486,values,no
264,AndOrXor:2515,poison,yes
265,AndOrXor:2515,undef,yes
266,AndOrXor:2515,values,no
267,AndOrXor:2581,poison,yes
268,AndOrXor:2581,undef,yes
269,AndOrXor:2581,values,no
270,AndOrXor:2587,poison,yes
271,AndOrXor:2587,undef,yes
272,AndOrXor:2587,values,no
273,AndOrXor:2595,poison,yes
274,AndOrXor:2595,undef,yes
275,AndOrXor:2595,values,no
276,AndOrXor:2607,poison,yes
277,AndOrXor:2607,undef,yes
278,AndOrXor:2607,values,no
279,AndOrXor:2617,poison,yes
280,AndOrXor:2617,undef,yes
281,AndOrXor:2617,values,no
282,AndOrXor:2627,poison,yes
283,AndOrXor:2627,undef,yes
284,AndOrXor:2627,values,no
285,AndOrXor:2647,poison,yes
286,AndOrXor:2647,undef,yes
287,AndOrXor:2647,values,no
288,AndOrXor:2658,poison,yes
289,AndOrXor:2658,undef,yes
