,encoding,opt_name,reason,proved
167,full,AndOrXor:210,values,no
168,full,AndOrXor:2113,poison,yes
169,full,AndOrXor:2113,undef,yes
170,full,AndOrXor:2113,values,no
171,full,AndOrXor:2118,poison,yes
172,full,AndOrXor:2118,undef,yes
173,full,AndOrXor:2118,values,no
174,full,AndOrXor:2123,poison,yes
175,full,AndOrXor:2123,undef,yes
176,full,AndOrXor:2123,values,no
177,full,AndOrXor:2160,poison,yes
178,full,AndOrXor:2160,undef,yes
179,full,AndOrXor:2160,values,no
180,full,AndOrXor:2188,poison,yes
181,full,AndOrXor:2188,undef,yes
182,full,AndOrXor:2188,values,no
183,full,AndOrXor:2243,poison,yes
184,full,AndOrXor:2243,undef,yes
185,full,AndOrXor:2243,values,no
186,full,AndOrXor:2247,poison,yes
187,full,AndOrXor:2247,undef,yes
188,full,AndOrXor:2247,values,no
189,full,AndOrXor:2263,poison,yes
190,full,AndOrXor:2263,undef,yes
191,full,AndOrXor:2263,values,no
192,full,AndOrXor:2264,poison,yes
193,full,AndOrXor:2264,undef,yes
194,full,AndOrXor:2264,values,no
195,full,AndOrXor:2265,poison,yes
196,full,AndOrXor:2265,undef,yes
197,full,AndOrXor:2265,values,no
198,full,AndOrXor:2284,poison,yes
199,full,AndOrXor:2284,undef,yes
200,full,AndOrXor:2284,values,no
201,full,AndOrXor:2285,poison,yes
202,full,AndOrXor:2285,undef,yes
203,full,AndOrXor:2285,values,no
204,full,AndOrXor:2297,poison,yes
205,full,AndOrXor:2297,undef,yes
206,full,AndOrXor:2297,values,no
207,full,AndOrXor:230,poison,yes
208,full,AndOrXor:230,undef,yes
209,full,AndOrXor:230,values,no
210,full,AndOrXor:2367,poison,yes
211,full,AndOrXor:2367,undef,yes
212,full,AndOrXor:2367,values,no
213,full,AndOrXor:2416,poison,yes
214,full,AndOrXor:2416,undef,yes
215,full,AndOrXor:2416,values,no
216,full,AndOrXor:2417,poison,yes
217,full,AndOrXor:2417,undef,yes
218,full,AndOrXor:2417,values,no
219,full,AndOrXor:2429,poison,yes
220,full,AndOrXor:2429,undef,yes
221,full,AndOrXor:2429,values,no
222,full,AndOrXor:2430,poison,yes
223,full,AndOrXor:2430,undef,yes
224,full,AndOrXor:2430,values,no
225,full,AndOrXor:2443,poison,yes
226,full,AndOrXor:2443,undef,yes
227,full,AndOrXor:2443,values,no
228,full,AndOrXor:2453,poison,yes
229,full,AndOrXor:2453,undef,yes
230,full,AndOrXor:2453,values,yes
231,full,AndOrXor:2475,poison,yes
232,full,AndOrXor:2475,undef,yes
233,full,AndOrXor:2475,values,no
234,full,AndOrXor:2486,poison,yes
235,full,AndOrXor:2486,undef,yes
236,full,AndOrXor:2486,values,no
237,full,AndOrXor:2595,poison,yes
238,full,AndOrXor:2595,undef,yes
239,full,AndOrXor:2595,values,no
240,full,AndOrXor:2607,poison,yes
241,full,AndOrXor:2607,undef,yes
242,full,AndOrXor:2607,values,no
243,full,AndOrXor:2617,poison,yes
244,full,AndOrXor:2617,undef,yes
245,full,AndOrXor:2617,values,no
246,full,AndOrXor:2627,poison,yes
247,full,AndOrXor:2627,undef,yes
248,full,AndOrXor:2627,values,no
249,full,AndOrXor:2647,poison,yes
250,full,AndOrXor:2647,undef,yes
251,full,AndOrXor:2647,values,no
252,full,AndOrXor:2658,poison,yes
253,full,AndOrXor:2658,undef,yes
254,full,AndOrXor:2658,values,no
255,full,AndOrXor:2663,poison,yes
256,full,AndOrXor:2663,undef,yes
257,full,AndOrXor:2663,values,yes
258,full,AndOrXor:270,poison,yes
259,full,AndOrXor:270,undef,yes
260,full,AndOrXor:270,values,yes
261,full,AndOrXor:273,poison,yes
262,full,AndOrXor:273,undef,yes
263,full,AndOrXor:273,values,no
264,full,AndOrXor:280,poison,yes
265,full,AndOrXor:280,undef,yes
266,full,AndOrXor:280,values,no
267,full,AndOrXor:287,poison,yes
268,full,AndOrXor:287,undef,yes
269,full,AndOrXor:287,values,yes
270,full,AndOrXor:290,poison,yes
271,full,AndOrXor:290,undef,yes
272,full,AndOrXor:290,values,no
273,full,AndOrXor:298,poison,yes
274,full,AndOrXor:298,undef,yes
275,full,AndOrXor:298,values,no
276,full,AndOrXor:363,poison,yes
277,full,AndOrXor:363,undef,yes
278,full,AndOrXor:363,values,no
279,full,AndOrXor:364,poison,yes
280,full,AndOrXor:364,undef,yes
281,full,AndOrXor:364,values,no
282,full,AndOrXor:516,poison,yes
283,full,AndOrXor:516,undef,yes
284,full,AndOrXor:516,values,no
285,full,AndOrXor:523,poison,yes
286,full,AndOrXor:523,undef,yes
287,full,AndOrXor:523,values,no
288,full,AndOrXor:530,poison,yes
289,full,AndOrXor:530,undef,yes
290,full,AndOrXor:530,values,no
291,full,AndOrXor:537,poison,yes
292,full,AndOrXor:537,undef,yes
293,full,AndOrXor:537,values,no
294,full,AndOrXor:698,poison,yes
295,full,AndOrXor:698,undef,yes
296,full,AndOrXor:698,values,no
297,full,AndOrXor:709,poison,yes
298,full,AndOrXor:709,undef,yes
299,full,AndOrXor:709,values,no
300,full,AndOrXor:716,poison,yes
301,full,AndOrXor:716,undef,yes
302,full,AndOrXor:716,values,no
303,full,AndOrXor:732-1,poison,yes
304,full,AndOrXor:732-1,undef,yes
305,full,AndOrXor:732-1,values,no
306,full,AndOrXor:732-2,poison,yes
307,full,AndOrXor:732-2,undef,yes
308,full,AndOrXor:732-2,values,no
309,full,AndOrXor:745,poison,yes
310,full,AndOrXor:745,undef,yes
311,full,AndOrXor:745,values,no
312,full,AndOrXor:757,poison,yes
313,full,AndOrXor:757,undef,yes
314,full,AndOrXor:757,values,no
