,opt_name,poison,undef,values,has_poison
142,Select:430,yes,yes,yes,False
143,Select:433,yes,yes,yes,False
144,Select:510,yes,yes,yes,False
145,Select:575a,yes,yes,yes,False
146,Select:575b,yes,yes,yes,False
147,Select:576a,yes,yes,yes,False
148,Select:576b,yes,yes,yes,False
149,Select:637,yes,yes,yes,False
150,Select:641,yes,yes,yes,False
151,Select:699,yes,yes,yes,False
152,Select:700,yes,yes,yes,False
153,Select:704,yes,yes,yes,False
154,Select:705,yes,yes,yes,False
155,Select:719,yes,yes,yes,False
156,Select:720,yes,yes,yes,False
157,Select:727,yes,yes,yes,False
158,Select:728,yes,yes,yes,False
159,Select:740,yes,yes,yes,False
160,Select:741,yes,yes,yes,False
161,Select:746,yes,yes,yes,False
162,Select:747,yes,yes,yes,False
163,muldivrem:152,yes,yes,yes,False
164,muldivrem:229,yes,yes,yes,False
165,muldivrem:239,yes,yes,yes,False
166,muldivrem:290:292,yes,yes,yes,False
167,muldivrem:876,yes,yes,yes,False
