,encoding,config,opt_name,reason,proved
118,ahmed,cvc4,AndOrXor:1827,undef,yes
119,ahmed,cvc4,AndOrXor:1827,values,yes
120,ahmed,cvc4,AndOrXor:1828,poison,yes
121,ahmed,cvc4,AndOrXor:1828,undef,yes
122,ahmed,cvc4,AndOrXor:1828,values,yes
123,ahmed,cvc4,AndOrXor:1829,poison,yes
124,ahmed,cvc4,AndOrXor:1829,undef,yes
125,ahmed,cvc4,AndOrXor:1829,values,yes
126,ahmed,cvc4,AndOrXor:1831,poison,yes
127,ahmed,cvc4,AndOrXor:1831,undef,yes
128,ahmed,cvc4,AndOrXor:1831,values,yes
129,ahmed,cvc4,AndOrXor:1832,poison,yes
130,ahmed,cvc4,AndOrXor:1832,undef,yes
131,ahmed,cvc4,AndOrXor:1832,values,yes
132,ahmed,cvc4,AndOrXor:1833,poison,yes
133,ahmed,cvc4,AndOrXor:1833,undef,yes
134,ahmed,cvc4,AndOrXor:1833,values,yes
135,ahmed,cvc4,AndOrXor:1844,poison,yes
136,ahmed,cvc4,AndOrXor:1844,undef,yes
137,ahmed,cvc4,AndOrXor:1844,values,yes
138,ahmed,cvc4,AndOrXor:1849,poison,yes
139,ahmed,cvc4,AndOrXor:1849,undef,yes
140,ahmed,cvc4,AndOrXor:1849,values,yes
141,ahmed,cvc4,AndOrXor:1850,poison,yes
142,ahmed,cvc4,AndOrXor:1850,undef,yes
143,ahmed,cvc4,AndOrXor:1850,values,yes
144,ahmed,cvc4,AndOrXor:1864,poison,yes
145,ahmed,cvc4,AndOrXor:1864,undef,yes
146,ahmed,cvc4,AndOrXor:1864,values,yes
147,ahmed,cvc4,AndOrXor:1869,poison,yes
148,ahmed,cvc4,AndOrXor:1869,undef,yes
149,ahmed,cvc4,AndOrXor:1869,values,no
150,ahmed,cvc4,AndOrXor:1870,poison,yes
151,ahmed,cvc4,AndOrXor:1870,undef,yes
152,ahmed,cvc4,AndOrXor:1870,values,yes
153,ahmed,cvc4,AndOrXor:1879,poison,yes
154,ahmed,cvc4,AndOrXor:1879,undef,yes
155,ahmed,cvc4,AndOrXor:1879,values,yes
156,ahmed,cvc4,AndOrXor:1880,poison,yes
157,ahmed,cvc4,AndOrXor:1880,undef,yes
158,ahmed,cvc4,AndOrXor:1880,values,yes
159,ahmed,cvc4,AndOrXor:1884,poison,yes
160,ahmed,cvc4,AndOrXor:1884,undef,yes
161,ahmed,cvc4,AndOrXor:1884,values,yes
162,ahmed,cvc4,AndOrXor:1885,poison,yes
163,ahmed,cvc4,AndOrXor:1885,undef,yes
164,ahmed,cvc4,AndOrXor:1885,values,yes
165,ahmed,cvc4,AndOrXor:1894,poison,yes
166,ahmed,cvc4,AndOrXor:1894,undef,yes
167,ahmed,cvc4,AndOrXor:1894,values,yes
168,ahmed,cvc4,AndOrXor:1895,poison,yes
169,ahmed,cvc4,AndOrXor:1895,undef,yes
170,ahmed,cvc4,AndOrXor:1895,values,yes
171,ahmed,cvc4,AndOrXor:1899,poison,yes
172,ahmed,cvc4,AndOrXor:1899,undef,yes
173,ahmed,cvc4,AndOrXor:1899,values,yes
174,ahmed,cvc4,AndOrXor:1900,poison,yes
175,ahmed,cvc4,AndOrXor:1900,undef,yes
176,ahmed,cvc4,AndOrXor:1900,values,yes
177,ahmed,cvc4,AndOrXor:1979,poison,yes
178,ahmed,cvc4,AndOrXor:1979,undef,yes
179,ahmed,cvc4,AndOrXor:1979,values,no
180,ahmed,cvc4,AndOrXor:2008,poison,yes
181,ahmed,cvc4,AndOrXor:2008,undef,yes
182,ahmed,cvc4,AndOrXor:2008,values,no
183,ahmed,cvc4,AndOrXor:2052,poison,yes
184,ahmed,cvc4,AndOrXor:2052,undef,yes
185,ahmed,cvc4,AndOrXor:2052,values,no
186,ahmed,cvc4,AndOrXor:2063,poison,yes
187,ahmed,cvc4,AndOrXor:2063,undef,yes
188,ahmed,cvc4,AndOrXor:2063,values,no
189,ahmed,cvc4,AndOrXor:210,poison,yes
190,ahmed,cvc4,AndOrXor:210,undef,yes
