filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
rec_AndOrXor:1900_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:979_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2595_undef_4.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:949_poison_7.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:967_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1539-2_poison_56.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:151_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:988_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:937_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1849_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:135_poison_41.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2453_poison_58.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1295_poison_4.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:144_undef_12.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:978_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:151_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:989_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1007_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:924_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1880_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1900_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:966_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1885_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:287_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1820_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:794_undef_35.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1869_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1683-1_poison_117.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:942_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:827_undef_48.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_muldivrem:229_poison_11.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:709_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:537_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
