filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
full_AndOrXor:2658_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:530_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift440_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2297_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:273_undef_7.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1819_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:966_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_muldivrem:876_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:827_undef_48.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1599_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:709_undef_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:732-2_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1012_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1979_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1829_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift497c_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AddSub:1043_undef_52.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:940_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift497d_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1879_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1820_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
