encoding,cvc4_tplanes,cvc4_tplanes_saturate_no_e_matching,vampire,z3_default,total
combined,68,81,68,69,82
full,69,79,65,68,80
partial,68,68,67,69,75
qf,69,69,64,67,72
total,73,82,69,71,83
